Address Line 1,City,CO2 Emission,County,Facility ID,Gas Code,Gas Name,Latitude,Longitude,State Name,Year,Zip Code,Facility Name,geometry,is_major_city,distance_to_nearest_major_city
5755 Choctaw Drive,BATON ROUGE,11984.75,EAST,1005572,CH4,METHANE,30.47085,-91.13277,LOUISIANA,2011,70805,ENTERGY LOUISIANA  LLC GAS BUSINESS,POINT (466235.6979899819 833594.795915424),no,416498.76487184345
1004 N. Big Spring Street  Suite 400,MIDLAND,12028.25,MIDLAND,1009715,CH4,METHANE,32.00694,-102.07898,TEXAS,2011,79701,PARALLEL PETROLEUM LLC 430 PERMIAN BASIN,POINT (-571242.9882813948 1010831.3788392876),no,441827.41372501483
9805 Katy Freeway  Suite 400,HOUSTON,44379.3,HARRIS,1009687,CO2,CARBON DIOXIDE,29.78192,-95.52127,TEXAS,2011,77024,WILDHORSE RESOURCES LLC 230 ARKLA BASIN,POINT (46263.00472532952 745296.544307503),yes,0.0
3241 Charleston Hwy,WEST COLUMBIA,28939.25,LEXINGTON,1005912,CH4,METHANE,33.912788,-81.070486,SOUTH CAROLINA,2011,29172,HIGHWAY 321 LEXINGTON COUNTY LANDFILL,POINT (1364845.581407938 1312658.5666506253),no,146519.12948491465
638 LAMBDIN RD,WALLULA,3337.25,WALLA,1004775,CH4,METHANE,46.053153,-118.843934,WASHINGTON,2011,99363,GAS TRANSMISSION NORTHWEST PIPELINE WALLULA CS#8,POINT (-1753667.503769919 2774552.1884581516),no,301634.446791668
5825 WEST 400 SOUTH,PORTLAND,36316.288925,JAY,1007671,CH4,METHANE,40.380206,-85.091221,INDIANA,2011,47371,JAY COUNTY LANDFILL,POINT (916224.751122537 1982218.2455198085),yes,0.0
16015 Davis Ave,CLEARLAKE,41131.0,LAKE,1011676,CH4,METHANE,38.954271,-122.611851,CALIFORNIA,2011,95422,EASTLAKE SANITARY LANDFILL,POINT (-2255038.645972836 2087599.918629951),no,107538.31993511565
1601 PATTERSON RD,JOLIET,5190.5,WILL,1001519,CH4,METHANE,41.4947,-88.125,ILLINOIS,2011,60436,JOLIET 9,POINT (651785.3809162237 2081393.1936197907),no,52770.37293081255
6001 STATE ST,BETTENDORF,4787.668,SCOTT,1001550,N2O,NITROUS OXIDE,41.5404,-90.4483,IOWA,2011,52722,RIVERSIDE (1081),POINT (459460.26378708327 2072911.489865609),no,230606.57788522152
1580 Lincoln Street  Suite 850,DENVER,12946.2,DENVER,1009762,CO2,CARBON DIOXIDE,39.74138,-104.98613,COLORADO,2011,80203,LUFF EXPLORATION COMPANY - 395 - WILLISTON BASIN,POINT (-762033.4068792698 1894053.35138916),yes,0.0
2020 LAUBSCHER RD,EVANSVILLE,68100.0,VANDERBURGH,1003626,CH4,METHANE,38.040318,-87.591242,INDIANA,2011,47720,LAUBSCHER MEADOWS LANDFILL,POINT (730051.4573585908 1699663.133824427),no,221122.9762322419
600 Travis Street  Suite 5500,HOUSTON,18.178,HARRIS,1007599,N2O,NITROUS OXIDE,29.76012,-95.3638,TEXAS,2011,77002,INDIGO MINERALS  LLC,POINT (61496.41194423149 742967.9407625727),yes,0.0
1_1/2 S OF LOST CABIN,LOST CABIN,917977.9,FREMONT,1002265,CO2,CARBON DIOXIDE,43.273,-107.6,WYOMING,2011,82642,BURLINGTON RESOURCES_LOST CABIN,POINT (-934596.4875407022 2310303.407826481),no,452439.93434908317
12201 Southwest Freeway,STAFFORD,210.388,FORT,1010305,N2O,NITROUS OXIDE,29.647,-95.575,TEXAS,2011,77477,TEXAS INSTRUMENTS INCORPORATED,POINT (41137.65260397303 730309.4511196143),no,23726.8201891275
20 SHOSHONE AVE.  STE B,GREEN RIVER,2.086,SWEETWATER,1010157,N2O,NITROUS OXIDE,41.50926,-109.47323,WYOMING,2011,82935,BREITBURN OPERATING LP-BASIN 535,POINT (-1112441.509722939 2134991.9281968297),no,220454.9657549711
272 CABOT LANE HIGHWAY 317,FRANKLIN,368842.6,SAINT,1006435,CO2,CARBON DIOXIDE,29.68576,-91.473179,LOUISIANA,2011,70538,CABOT CORP - CANAL PLANT,POINT (437802.3930987351 744944.5840909511),no,378712.9889080833
370 PLAINFIELD ROAD  RTE 12-A,WEST LEBANON,47.0,GRAFTON,1006421,CO2,CARBON DIOXIDE,43.612789,-72.326669,NEW HAMPSHIRE,2011,3784,LEBANON LANDFILL AND RECYCLING CENTER,POINT (1883007.9039797713 2526877.999491417),no,176182.21468928515
8244 Hwy. 56,CHAUVIN,75076.75,TERREBONNE,1009892,CH4,METHANE,29.24884,-90.66038,LOUISIANA,2011,70344,STATION 523 (COCODRIE COMPRESSOR STATION),POINT (519053.665396809 700675.1262774447),no,462173.6536427941
25 LEDOYT RD  U-3038,STORRS MANSFIELD,47.5,TOLLAND,1004266,CH4,METHANE,41.809771,-72.261402,CONNECTICUT,2011,6269,UNIVERSITY OF CONNECTICUT,POINT (1937900.7082286936 2332933.6973897987),no,69523.61252885225
685 Pump Station Road,GENESEE TWP.,60778.9,POTTER,1003629,CO2,CARBON DIOXIDE,41.92991,-77.868402,PENNSYLVANIA,2011,16923,DOMINION ENERGY TRANSMISSION - ELLISBURG STATION (STOR),POINT (1484072.284561601 2245077.4006905244),no,242085.26818084478
101 FITCHBURG RD,WESTMINSTER,18398.006404,WORCESTER,1007753,BIOCO2,BIOGENIC CO2,42.533852,-71.845589,MASSACHUSETTS,2011,1473,FITCHBURG WESTMINSTER LANDFILL RECYCLING CENTER,POINT (1950756.3223807001 2419863.9895359026),no,66659.74434410856
213 Lafayette County 36,STAMPS,12429.6,LAFAYETTE,1010318,CO2,CARBON DIOXIDE,33.310999,-93.490239,ARKANSAS,2011,71860,BONANZA CREEK ENERGY - ARKLA BASIN,POINT (232135.30250225676 1141075.6508436599),no,309501.0142563869
3205 CEDAR ST,MUSCATINE,1396275.9,MUSCATINE,1001564,CO2,CARBON DIOXIDE,41.3917,-91.0569,IOWA,2011,52761,MUSCATINE,POINT (410005.9012135374 2053509.1772140462),no,283204.18326804147
1314 SOMERSET AVE,TAUNTON,38534.1,BRISTOL,1000667,CO2,CARBON DIOXIDE,41.8653,-71.1061,MASSACHUSETTS,2011,2780,CLEARY FLOOD,POINT (2028489.6370345047 2363053.9606719264),no,26204.67205686916
15292 Highway 21 South,SEBASTOPOL,8774.6,NESHOBA,1010046,CO2,CARBON DIOXIDE,32.5749,-89.32429,MISSISSIPPI,2011,39359,PECO FOODS INC,POINT (622785.8728444099 1077750.8076890442),no,289174.23182567407
800 AIR WAY,GLENDALE,122.25,LOS,1006628,CH4,METHANE,34.1556,-118.2782,CALIFORNIA,2011,91201,GRAYSON POWER PLANT,POINT (-2020075.472714058 1470236.641641343),no,12652.455369485595
9101 WELD COUNTY RD 14,FT LUPTON,2755.225,WELD,1002415,CH4,METHANE,40.088944,-104.884194,COLORADO,2011,80621,SPINDLE GAS PROCESSING PLANT,POINT (-749779.00402016 1932015.3690284532),no,36641.08121346399
6825 N. County Road 25 West,BAINBRIDGE,671.0,PUTNAM,1002087,CH4,METHANE,39.75982,-86.85381,INDIANA,2011,46105,BAINBRIDGE COMPRESSOR STATION,POINT (775366.5361585147 1897405.0077663688),no,60138.00284933723
3345 COUNTY ROAD 209,COLLINSVILLE,227900.0,DEKALB,1006304,CH4,METHANE,34.342,-85.862,ALABAMA,2011,35961,SAND VALLEY LANDFILL,POINT (923759.611045496 1302525.3201337212),no,146972.30189088092
3212 Dover Road,WOODLAWN,251292.0,MONTGOMERY,1005281,CH4,METHANE,36.538,-87.54235,TENNESSEE,2011,37191,BI-COUNTY SOLID WASTE MANAGEMENT SYSTEMS,POINT (749247.7892164635 1532357.7459624761),no,78930.65362894989
5241 Spring Mountain Road,LAS VEGAS,87852.25,CLARK,1006640,CH4,METHANE,36.12602,-115.21338,NEVADA,2011,89150,SOUTHWEST GAS - ARIZONA,POINT (-1702006.2223555967 1625490.6743878778),yes,0.0
N. Second Street,HARTSVILLE,1096.0,DARLINGTON,1000353,CH4,METHANE,34.387,-80.0663,SOUTH CAROLINA,2011,29550,SONOCO PRODUCTS CO.,POINT (1446967.4062285635 1379824.7965644712),no,115099.39281563307
4278 Mike Padgett Highway,AUGUSTA,24697.644,RICHMOND,1006731,N2O,NITROUS OXIDE,33.3286,-81.9537,GEORGIA,2011,30906,GRAPHIC PACKAGING INTERNATIONAL - AUGUSTA,POINT (1294320.193702132 1235802.9038576179),no,232747.34570106328
3210 WATLING ST,EAST CHICAGO,7063970.5,LAKE,1000156,CO2,CARBON DIOXIDE,41.68,-87.4264,INDIANA,2011,46312,MITTAL STEEL USA - INDIANA HARBOR EAST,POINT (707587.111959808 2107049.7117494126),no,27783.923149474133
1940 LA HWY 1  NORTH,PORT ALLEN,597825.6,WEST,1000025,CO2,CARBON DIOXIDE,30.475803,-91.208107,LOUISIANA,2011,70767,PLACID REFINING CO LLC - PORT ALLEN REFINERY,POINT (458997.5424651845 833777.5602006351),no,409465.22074687056
4689 South 400 West,HUNTINGBURG,2.384,DUBOIS,1010674,N2O,NITROUS OXIDE,38.31025,-86.983806,INDIANA,2011,47542,FARBEST FOODS  INC.,POINT (779770.1571640609 1734616.8250306),no,179419.2060209561
4689 South 400 West,HUNTINGBURG,2.0,DUBOIS,1010674,CH4,METHANE,38.31025,-86.983806,INDIANA,2011,47542,FARBEST FOODS  INC.,POINT (779770.1571640609 1734616.8250306),no,179419.2060209561
1501 McKinney Street,HOUSTON,5469.2,HARRIS,1008634,CO2,CARBON DIOXIDE,29.75421,-95.36021,TEXAS,2011,77010,HESS CORPORATION - 430 - PERMIAN BASIN,POINT (61847.836407362134 742314.8049720167),yes,0.0
2480 Fortune Drive  Suite 300,LEXINGTON,39847.75,HARRIS,1008502,CH4,METHANE,29.77791,-95.5444,KENTUCKY,2011,40509,NYTIS EXPLORATION COMPANY  LLC 160 APPALACHIAN BASIN,POINT (44029.94203255277 744840.7877323256),no,15092.453779089814
401 EAST FRONT STREET,DAVENPORT,291759.9,SCOTT,1005288,CO2,CARBON DIOXIDE,41.46352,-90.68497,IOWA,2011,52804,LINWOOD MINING & MINERALS CORPORATION,POINT (440375.259760843 2063200.4393416685),no,251395.22285747118
13430 Northwest Freeway Suite 1000,HOUSTON,79164.0,HARRIS,1009683,CH4,METHANE,29.850591,-95.507729,TEXAS,2011,77040,LAREDO ENERGY 220 GULF BASIN (LA  TX),POINT (47532.09640372913 752920.4837671344),yes,0.0
27000 Highway 12,TRINIDAD,20.562,LAS,1008608,N2O,NITROUS OXIDE,37.158302,-104.565527,COLORADO,2011,81082,PIONEER NATURAL RESOURCES USA  INC.  LAS VEGAS-RATON,POINT (-752523.088391221 1602430.5202068011),no,293044.13836584304
1781 HAGGERTY HWY,COMMERCE TOWNSHIP,0.75,OAKLAND,1000333,CH4,METHANE,42.5497,-83.4425,MICHIGAN,2011,48390,HANCOCK PEAKERS,POINT (1021955.8409422302 2240000.259758049),no,33437.25695966803
1886 N. STATION ROAD,CASPER,57016.75,NATRONA,1005225,CH4,METHANE,42.87431,-106.2818,WYOMING,2011,82601,CASPER BALEFILL,POINT (-833641.0166389247 2253800.6865995224),no,367400.5456130312
3609 South Hart Street,VINCENNES,227284.75,KNOX,1001685,CH4,METHANE,38.62569,-87.44488,INDIANA,2011,47591,AIR QUALITY MINE,POINT (736826.0388196658 1766143.5026403407),no,170314.9871433715
727 Red Lane Rd,BIRDSBORO,30534.5,BERKS,1011037,CH4,METHANE,40.27376,-75.81392,PENNSYLVANIA,2011,19508,PIONEER CROSSING LANDFILL,POINT (1688916.8335324603 2097698.8615769576),no,64707.13287269087
1099 18th St. #1800,DENVER,2252.5,DENVER,1009165,CO2,CARBON DIOXIDE,39.74933,-104.99275,COLORADO,2011,80202,UINTA BASIN - AAPG PROVINCE 575,POINT (-762508.9389448306 1894993.33838148),yes,0.0
1615 Wynkoop Street,DENVER,105904.75,DENVER,1010183,CH4,METHANE,39.75231,-104.99906,COLORADO,2011,80202,ANTERO RESOURCES - 160A - APPALACHIAN BASIN (EASTERN OVERTHURST AREA),POINT (-763010.7994395731 1895376.4244087143),yes,0.0
600 East Exchange Road,FORT WORTH,280293.9,TARRANT,1009386,CO2,CARBON DIOXIDE,32.78883,-97.34375,TEXAS,2011,76164,XTO ENERGY INC 220 GULF COAST,POINT (-125121.79497994082 1080615.4265181334),no,53734.024572453505
1000 Main  Suite 3000,HOUSTON,31986.0,HARRIS,1008675,CH4,METHANE,29.7589,-95.37091,TEXAS,2011,77002,EAGLE FORD 220 GULF COAST BASIN,POINT (60810.05040080249 742828.0571393823),yes,0.0
1300 Fort Pierpont Drive,MORGANTOWN,6694.75,MONONGALIA,1009802,CH4,METHANE,39.653251,-79.936985,WEST VIRGINIA,2011,26508,STONE ENERGY 160A,POINT (1359367.6812813585 1963280.6036385298),no,88178.85916894463
301 Commerce Street  Suite 1800,FORT WORTH,20905.7,TARRANT,1009717,CO2,CARBON DIOXIDE,32.75586,-97.33105,TEXAS,2011,76102,DTE GAS RESOURCES 420 FORT WORTH SYNCLINE,POINT (-123990.84225985614 1076920.9260674173),no,52727.35331850457
800 N. Shoreline Blvd.  Suite 900,CORPUS CHRISTI,22.648,NUECES,1010045,N2O,NITROUS OXIDE,27.79873,-97.39145,TEXAS,2011,78401,MANTI EXPLORATION OPERATING  LLC,POINT (-137674.07395547634 526750.1813045122),no,214942.0435030511
700 Columbia Avenue,MIDDLETOWN,259.75,BUTLER,1006558,CH4,METHANE,39.521,-84.40502,OHIO,2011,45042,ESSITY OPERATIONS WAUSAU LLC,POINT (985297.8510659372 1893484.4069646723),no,43419.819019163864
600 NORTH YUCCA DR,MONAHANS,311994.0,WARD,1007155,CO2,CARBON DIOXIDE,31.5839,-102.9636,TEXAS,2011,79756,PERMIAN BASIN,POINT (-657680.979263233 969544.5773899179),no,486040.988312615
